code,ko_name,rarity,jp_ref,score,match_prod_name,match_cid
BS2024007009,그우린차 ex,RR,,0.989,그우린차 ex,CRD_4825831A44A54D91A8C4
BS2024007013,마그카르고 ex,RR,,0.908,마그카르고 ex,CRD_B7345EED8A0E4A05B2C2
BS2024007033,무쇠가시 ex,RR,,0.907,무쇠가시 ex,CRD_2D4AA6D08A11483FA5DB
BS2024007040,우렁찬꼬리 ex,RR,,0.966,우렁찬꼬리 ex,CRD_640F3D6A0BD2463986B1
BS2024007052,다투곰 붉은 달 ex,RR,,0.933,다투곰 붉은 달 ex,CRD_C8708FEE42914C2C92BD
BS2024008016,오거폰 벽록의 가면 ex,RR,,0.946,오거폰 벽록의 가면 ex,CRD_91F9D869C7DF4777B799
BS2024008036,돌핀맨 ex,RR,,0.958,돌핀맨 ex,CRD_12724DE193F242D89D06
BS2024008041,렌트라 ex,RR,,0.947,렌트라 ex,CRD_9D7E49141F244802BAB2
BS2024011012,킹드라 ex,RR,,0.962,킹드라 ex,CRD_67F29079C11444D7B0CA
BS2024011036,조타구 ex,RR,,0.997,조타구 ex,CRD_932E2AB3AB22444D9575
BS2024011038,기로치 ex,RR,,0.989,기로치 ex,CRD_15FD761C7E9D47358044
BS2024011039,복숭악동 ex,RR,,0.938,복숭악동 ex,CRD_321E17A2C21747AAB24E
BS2024012018,에이스번 ex,RR,,0.968,에이스번 ex,CRD_A497F0378C1349F19C8B
BS2024012046,바우첼 ex,RR,,0.985,바우첼 ex,CRD_8A55485EA762404EB6E8
BS2024012054,요가램 ex,RR,,0.902,요가램 ex,CRD_E71149545CE345E28C39
BS2024012074,꿈트렁 ex,RR,,0.96,꿈트렁 ex,CRD_40C9B79679FB427396C0
BS2024012088,테라파고스 ex,RR,,0.991,테라파고스 ex,CRD_D7065DC67F244D799293
BS2024016011,블랙큐레무 ex,RR,,0.956,블랙큐레무 ex,CRD_8EF30B3B1E864419943C
BS2024016019,라티아스 ex,RR,,0.99,라티아스 ex,CRD_614DE1758C59451FBC92
BS2024016037,브리두라스 ex,RR,,0.983,브리두라스 ex,CRD_DAA35F1AF62C4F308C37
BS2024017003,아이앤트 ex,RR,,0.927,아이앤트 ex,CRD_2F0ED241ED394BF6BF87
BS2024017023,스코빌런 ex,RR,,0.95,스코빌런 ex,CRD_4CC1B8E1952F40E5AE74
BS2024017026,밀로틱 ex,RR,,0.918,밀로틱 ex,CRD_3610EE3BBB834DF6A0BF
BS2024017084,게을킹 ex,RR,,0.966,게을킹 ex,CRD_89CF88D4F24A4B3FAB18
BS2024019003,리피아 ex,RR,,0.939,리피아 ex,CRD_5C16965B4D8C4C77943D
BS2024019010,과미드라 ex,RR,,0.96,과미드라 ex,CRD_F9B21FCBE1B640D5ACF7
BS2024019026,오거폰 화덕의 가면 ex,RR,,0.974,오거폰 화덕의 가면 ex,CRD_F55908E6632F40A5BE9A
BS2024019031,샤미드 ex,RR,,0.953,샤미드 ex,CRD_23BFAC1CC99540DEB9B9
BS2024019041,글레이시아 ex,RR,,0.961,글레이시아 ex,CRD_57EB73076A4B471381A3
BS2024019050,오거폰 우물의 가면 ex,RR,,0.952,오거폰 우물의 가면 ex,CRD_C5AAC2405EE34F249A43
BS2024019063,에브이 ex,RR,,0.982,에브이 ex,CRD_BE8BC1ED2FFA48EFAEE0
BS2024019069,님피아 ex,RR,,0.961,님피아 ex,CRD_065512D143D348EDBE3E
BS2024019091,오거폰 주춧돌의 가면 ex,RR,,0.984,오거폰 주춧돌의 가면 ex,CRD_820C8A1490C243AF8876
BS2024019093,블래키 ex,RR,,0.945,블래키 ex,CRD_3FDB36F0CAF24E49B6CF
BS2024019105,복숭악동 ex,RR,sv8a_ja-105,0.933,복숭악동 ex,CRD_321E17A2C21747AAB24E
BS2024019120,드래펄트 ex,RR,,0.973,드래펄트 ex,CRD_9C111FFCAB0E4282A578
BS2024019126,이브이 ex,RR,,0.958,이브이 ex,CRD_244EB50258FC45D58BB7
BS2023001126,아르세우스 V,RR,,0.939,아르세우스 V,CRD_466890A6EF99406086D6
BS2022001019,번치코 V,RR,,0.974,번치코 V,CRD_D1177926ABA14B70B4E9
BS2022001100,블래키 V,RR,,0.999,블래키 V,CRD_093F671F8D0F4F349B81
BS2022001115,아머까오 V,RR,,0.999,아머까오 V,CRD_2301905FC60B4E48B82C
BS2022001127,해피너스 V,RR,,0.986,해피너스 V,CRD_3DB07E020BC24EA1AB3B
BS2022002030,네오라이트 V,RR,,0.991,네오라이트 V,CRD_95CC285CB5F240BA8D2B
BS2021001007,애프룡 V,RR,,0.975,애프룡 V,CRD_BF0F5557B756404B95E3
BS2021001017,카푸꼬꼬꼭 V,RR,,0.978,카푸꼬꼬꼭 V,CRD_52591157ACD8487D99CF
BS2021001027,따라큐 V,RR,,0.999,따라큐 V,CRD_C3AC7D22528745FE8E4B
BS2021001036,일격 우라오스 V,RR,,0.992,일격 우라오스 V,CRD_893BF8C4050E44B6ACFA
BS2021001046,마기라스 V,RR,,0.99,마기라스 V,CRD_59D148E4C2854E5AAA96
BS2021001059,바랜드 V,RR,,0.958,바랜드 V,CRD_A8CA5B29C9994F09BCF9
BS2021002004,귀뚤톡크 V,RR,,0.969,귀뚤톡크 V,CRD_D86A3315CB974B96A9E6
BS2021002012,비크티니 V,RR,,0.963,비크티니 V,CRD_2A2C765236DC4E0DA39B
BS2021002026,엠페르트 V,RR,,0.974,엠페르트 V,CRD_DE7B8B068B1746649360
BS2021002050,연격 우라오스 V,RR,,0.999,연격 우라오스 V,CRD_C3BE18AFFD494670BA91
BS2021003023,파치래곤 V,RR,,0.981,파치래곤 V,CRD_BF0B13F713C54C379992
BS2021003025,가라르 프리져 V,RR,,0.98,가라르 프리져 V,CRD_08E2001528D84351A367
BS2021003045,가라르 파이어 V,RR,,0.998,가라르 파이어 V,CRD_85A18C735C9147958902
BS2021003046,가라르 야도킹 V,RR,,0.98,가라르 야도킹 V,CRD_F5AF7D246A2542E48326
BS2021004027,백마 버드렉스 V,RR,,0.995,백마 버드렉스 V,CRD_4CF6CEF79B8D4088917C
BS2021004029,가라르 날쌩마 V,RR,,0.962,가라르 날쌩마 V,CRD_DC0D44D9E66D45FA907B
BS2021004043,사다이사 V,RR,,0.953,사다이사 V,CRD_E7DB54455C61431B8B1B
BS2021005017,어치르돈 V,RR,,0.979,어치르돈 V,CRD_1189D005D21D4ED69DBF
BS2021005049,메타그로스 V,RR,,0.983,메타그로스 V,CRD_49A64C751A444FF7B85C
BS2021007002,리피아 V,RR,,0.991,리피아 V,CRD_D314F766A59B4473933E
BS2021007011,부스터 V,RR,,0.959,부스터 V,CRD_1164B69A14F3417EBA5C
BS2021007015,샤미드 V,RR,,0.939,샤미드 V,CRD_E493F0082A45481EA7EE
BS2021007030,쥬피썬더 V,RR,,0.981,쥬피썬더 V,CRD_A313B53B087D4A94B80A
BS2021007035,에브이 V,RR,,0.964,에브이 V,CRD_5751676A34FF4B128A73
BS2021011015,골루그 V,RR,,0.941,골루그 V,CRD_33D12892FE0A448BA1C5
BS2021011024,루가루암 V,RR,,0.956,루가루암 V,CRD_E506A487DE8C45099602
BS2021011030,더스트나 V,RR,swsh7d_ja-31,0.96,더스트나 V,CRD_B8BC4E618338434C9925
BS2021011046,음번 V,RR,,0.967,음번 V,CRD_A9AEC318816D44429B63
BS2021011048,두랄루돈 V,RR,swsh7d_ja-49,0.999,두랄루돈 V,CRD_2BCC60756DD640D68C16
BS2021012007,대로트 V,RR,,0.931,대로트 V,CRD_F3E837515D0E435AA991
BS2021012036,요가램 V,RR,,0.976,요가램 V,CRD_CC13B8F8C8BC49B092D7
BS2021015018,자시안 V,RR,,0.981,자시안 V,CRD_EC412671D4E6458C9C17
BS2021018026,모단단게 V,RR,,0.973,모단단게 V,CRD_4C8698FF6B3849B49B28
BS2021018034,펄스멍 V,RR,swsh8_ja-117,0.947,펄스멍 V,CRD_D70F5446D2974DDC8EB0
BS2021018085,요씽리스 V,RR,,0.983,요씽리스 V,CRD_9987ACD7E7C54BF8A0F8
BS2020011064,무한다이노 V,RR,,1.0,무한다이노 V,CRD_DB4376253193405389B0
