product_id,current_name_ko,set_code,release_date_jp,source,status,note
PRD_ED1CAC91B03F4EAD86F7,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「스칼렛 ex」,sv1s_ja,2023-01-20,Bulbapedia(JP·2차),2차확정,
PRD_5AD4DD681C694EAC8DDA,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,sv1v_ja,2023-01-20,Bulbapedia(JP·2차),2차확정,
PRD_B4F8E0D2E2414F1DBC9B,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja,2022-12-02,Bulbapedia(JP·2차),2차확정,
PRD_75DAB61BCF5342C38563,소드 & 실드 확장팩 「패러다임트리거」,swsh12_ja,2022-10-21,Bulbapedia(JP·2차),2차확정,
PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja,2022-09-02,Bulbapedia(JP·2차),2차확정,
PRD_D85C098E2C3449848167,소드&실드 확장팩 「로스트어비스」,swsh11_ja,2022-07-15,Bulbapedia(JP·2차),2차확정,
PRD_FEBA8CBAF36B40D9850F,소드&실드 강화 확장팩 「Pokémon GO」,swsh10b_ja,2022-06-17,Bulbapedia(JP·2차),2차확정,
PRD_554AB5D7D5A440D0AA2A,소드&실드 강화 확장팩 「다크판타스마」,swsh10a_ja,2022-05-13,Bulbapedia(JP·2차),2차확정,
PRD_A34AF524E977421D94D7,소드&실드 확장팩 「타임게이저」,swsh10d_ja,2022-04-08,Bulbapedia(JP·2차),2차확정,
PRD_7DF9CF9792C3451BBA08,소드&실드 확장팩 「스페이스 저글러」,swsh10p_ja,2022-04-08,Bulbapedia(JP·2차),2차확정,
PRD_B6A92B9A3823440F8F49,소드&실드 강화 확장팩 「배틀리전」,swsh9a_ja,2022-02-25,Bulbapedia(JP·2차),2차확정,
PRD_FA60964DC9AC4C999AC2,소드&실드 확장팩 「스타버스」,swsh9_ja,2022-01-14,Bulbapedia(JP·2차),2차확정,
PRD_B2ACFB7F8D3D424D8D60,소드&실드 「스타트 덱 100」,swsh5i_ja,2021-12-17,pokemon-card.com(JP공식),공식확정,JP 스타트덱100 (사용자정정·코드 swsh5i는 일격마스터와 카드 재판본 공유)
PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja,2021-12-03,Bulbapedia(JP·2차),2차확정,
PRD_3BEB5A9863D54FE7BE25,소드&실드 확장팩 「퓨전아츠」,swsh8_ja,2021-09-24,Bulbapedia(JP·2차),2차확정,
PRD_BCB8045CC957488BB992,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja,2021-07-09,Bulbapedia(JP·2차),2차확정,
PRD_3AD5C945B465480BA36C,소드 & 실드 확장팩 「창공스트림」,swsh7r_ja,2021-07-09,Bulbapedia(JP·2차),2차확정,
PRD_BD7FA21EB0B4407086A0,소드&실드 강화 확장팩 「이브이 히어로즈」,swsh6a_ja,2021-05-28,Bulbapedia(JP·2차),2차확정,
PRD_83E04A9A71A74A88AB44,소드&실드 확장팩 「백은의 랜스」,swsh6h_ja,2021-04-23,Bulbapedia(JP·2차),2차확정,
PRD_EACC12D2E1D547E3ACE6,소드&실드 확장팩 「칠흑의 가이스트」,swsh6k_ja,2021-04-23,Bulbapedia(JP·2차),2차확정,
PRD_FDDAB6E1AF8D49E6A224,소드&실드 확장팩 「일격마스터」,swsh5i_ja,2021-01-22,Bulbapedia(JP·2차),2차확정,
PRD_AD7B5C4F802F4D64BE90,소드&실드 확장팩 「연격마스터」,swsh5r_ja,2021-01-22,Bulbapedia(JP·2차),2차확정,
PRD_595A32AA23664B6ABD92,소드&실드 하이클래스팩 「샤이니스타 V」,swsh4a_ja,2020-11-20,Bulbapedia(JP·2차),2차확정,
PRD_32C23D5FA71F45ADB572,소드&실드 확장팩 「앙천의 볼트태클」,swsh4_ja,2020-09-18,Bulbapedia(JP·2차),2차확정,
PRD_FE54F67A9C114773A9CD,소드&실드 강화 확장팩 「전설의 고동」,swsh3a_ja,2020-07-10,Bulbapedia(JP·2차),2차확정,
PRD_0A7EE93DE4014CF7A4B6,소드 & 실드 강화 확장팩 「전설의 고동」,swsh3a_ja,2020-07-10,Bulbapedia(JP·2차),2차확정,
PRD_91D480C53D3248F79831,소드&실드 확장팩 「무한존」,swsh3_ja,2020-06-05,Bulbapedia(JP·2차),2차확정,
PRD_9C4063C50B5B45C09FF9,소드&실드 강화 확장팩 「폭염워커」,swsh2a_ja,2020-04-24,Bulbapedia(JP·2차),2차확정,
PRD_E4286779F3FF4A8DA34F,소드&실드 확장팩 「반역크래시」,swsh2_ja,2020-03-06,Bulbapedia(JP·2차),2차확정,
PRD_D785A25B9DFD4C32AE7C,소드&실드 강화 확장팩 「VMAX라이징」,swsh1a_ja,2020-02-07,Bulbapedia(JP·2차),2차확정,
PRD_FC1A7B5927A44298A2A2,소드&실드 확장팩 「실드」,swsh1h_ja,2019-12-06,Bulbapedia(JP·2차),2차확정,
PRD_7CCB63858C7E43A287F2,소드&실드 확장팩 「소드」,swsh1w_ja,2019-12-06,Bulbapedia(JP·2차),2차확정,
PRD_C50AF6B22D9843F5B112,썬&문 하이클래스팩 「TAG TEAM GX 태그올스타즈」,sm12a_ja,2019-10-04,Bulbapedia(JP·2차),2차확정,
PRD_26B8AEB977614902B314,썬&문 확장팩 제12탄 「얼터제네시스」,sm12_ja,2019-09-06,Bulbapedia(JP·2차),2차확정,
PRD_FDF989679F15435DB74E,썬&문 강화 확장팩 「드림리그」,sm11b_ja,2019-08-02,Bulbapedia(JP·2차),2차확정,
PRD_8F7CD105F639462ABA75,썬&문 강화 확장팩 「리믹스바우트」,sm11a_ja,2019-07-05,Bulbapedia(JP·2차),2차확정,
PRD_85013CC4B9634E819F22,썬&문 확장팩 제11탄 「미라클트윈」,sm11_ja,2019-05-31,Bulbapedia(JP·2차),2차확정,
PRD_3E9DB59EE4A3494BAC2C,썬&문 강화 확장팩 「스카이레전드」,sm10b_ja,2019-04-26,Bulbapedia(JP·2차),2차확정,
PRD_472A74A595644AAF95EA,썬&문 강화 확장팩 「GG엔드」,sm10a_ja,2019-04-05,Bulbapedia(JP·2차),2차확정,
PRD_BDAF39161DD0442B99F6,썬&문 확장팩 「더블블레이즈」,sm10_ja,2019-03-01,Bulbapedia(JP·2차),2차확정,
PRD_F47B27397A4F495BA9FE,썬&문 강화 확장팩 「풀메탈월」,sm9b_ja,2019-02-01,Bulbapedia(JP·2차),2차확정,
PRD_B4B304E3BD094584B09E,썬&문 강화 확장팩 「나이트유니슨」,sm9a_ja,2019-01-11,Bulbapedia(JP·2차),2차확정,
PRD_0D6AE93A1F194DF2AFCC,썬&문 확장팩 「태그볼트」,sm9_ja,2018-12-07,Bulbapedia(JP·2차),2차확정,
PRD_F0B2C76547E5479F8E65,썬&문 하이클래스팩 「GX 울트라샤이니」,sm8b_ja,2018-11-02,Bulbapedia(JP·2차),2차확정,
PRD_60C4B2B436F34869A60E,썬&문 하이클래스팩 「GX 울트라샤이니 ULTIMATE」,smp_ja,2018-11-02,pokemon-card.com(JP공식),공식확정,
PRD_6DB848A34AB046C29FCF,썬&문 강화 확장팩 「다크오더」,sm8a_ja,2018-10-05,Bulbapedia(JP·2차),2차확정,
PRD_6066B79FCD694BDCBF82,썬&문 확장팩 제8탄 「버스트임팩트」,sm8_ja,2018-09-07,Bulbapedia(JP·2차),2차확정,
PRD_D59FE8DA38A0461A8AB8,썬&문 강화 확장팩 「페어리라이즈」,sm7b_ja,2018-08-03,Bulbapedia(JP·2차),2차확정,
PRD_D2E62F137D9A44ACBEBC,썬&문 확장팩 제7탄 「창공의 카리스마」,sm7_ja,2018-06-01,Bulbapedia(JP·2차),2차확정,
PRD_151FCDB5743444E7A349,썬&문 강화 확장팩 「챔피언로드」,sm6b_ja,2018-05-30,Bulbapedia(JP·2차),2차확정,
PRD_6FAC8D9AE7E9486E91BC,썬&문 강화 확장팩 「드래곤스톰」,sm6a_ja,2018-04-06,Bulbapedia(JP·2차),2차확정,
PRD_3FDB16A819514C3C85B3,썬&문 확장팩 제6탄 「금단의 빛」,sm6_ja,2018-03-02,Bulbapedia(JP·2차),2차확정,
PRD_0BF9D5EE99F244E7910D,썬&문 강화 확장팩 「울트라포스」,sm5p_ja,2018-01-19,Bulbapedia(JP·2차),2차확정,
PRD_F201E3D7E4F640C7847E,썬&문 확장팩 제5탄 「울트라문」,sm5m_ja,2017-12-08,Bulbapedia(JP·2차),2차확정,
PRD_F6FE8B8F09B645B4BEA7,썬&문 확장팩 제5탄 「울트라썬」,sm5s_ja,2017-12-08,Bulbapedia(JP·2차),2차확정,
PRD_5DB928790C7E449C8459,썬&문 강화 확장팩 「GX 배틀부스트」,sm4p_ja,2017-10-20,Bulbapedia(JP·2차),2차확정,
PRD_B9ABCB229FAD45509D71,썬&문 확장팩 제4탄 「초차원의 침략자」,sm4a_ja,2017-09-15,Bulbapedia(JP·2차),2차확정,
PRD_308E1F33050B4777988E,썬&문 확장팩 제4탄 「각성의 용사」,sm4s_ja,2017-09-15,Bulbapedia(JP·2차),2차확정,
PRD_F59042429A0444D3B06F,썬&문 강화 확장팩 「빛나는 전설」,sm3p_ja,2017-07-15,Bulbapedia(JP·2차),2차확정,
PRD_5358D70C809B48A3851F,썬&문 확장팩 제3탄 「어둠을 밝힌 무지개」,sm3h_ja,2017-06-16,Bulbapedia(JP·2차),2차확정,
PRD_CF155EC649AE400EB0D1,썬&문 확장팩 제3탄 「빛을 삼킨 어둠」,sm3n_ja,2017-06-16,Bulbapedia(JP·2차),2차확정,
PRD_8A0B1007C3C94557BB73,썬&문 강화 확장팩 「새로운 시련」,sm2p_ja,2017-04-21,Bulbapedia(JP·2차),2차확정,
PRD_87A114BC5BF44CB19C97,하이클래스팩 「THE BEST OF XY」,xy_ja,2017-04-21,pokemon-card.com(JP공식),공식확정,
PRD_580510CA86824BE7B26B,썬&문 확장팩 제2탄 「알로라의 햇빛」,sm2k_ja,2017-03-17,Bulbapedia(JP·2차),2차확정,
PRD_B037DA2FF59847768F3C,썬&문 확장팩 제2탄 「알로라의 달빛」,sm2l_ja,2017-03-17,Bulbapedia(JP·2차),2차확정,
PRD_8E7CED8394594453A32D,썬&문 강화 확장팩 「썬&문」,sm1p_ja,2017-01-27,Bulbapedia(JP·2차),2차확정,
PRD_A7690D997FD6483B8C54,썬&문 확장팩 제1탄 「문 컬렉션」,sm1m_ja,2016-12-09,Bulbapedia(JP·2차),2차확정,
PRD_498EC017052748FA9B3C,썬&문 확장팩 제1탄 「썬 컬렉션」,sm1s_ja,2016-12-09,Bulbapedia(JP·2차),2차확정,
PRD_E8E7DDCB3A754A04BC5A,XY BREAK 확장팩 BASE PACK 20th Anniversary,cp6_ja,2016-09-16,Bulbapedia(JP·2차),2차확정,
PRD_83AFAF718E5E44349857,XY BREAK 확장팩 제11탄 「냉혹한 반역자」,xy11c_ja,2016-06-17,Bulbapedia(JP·2차),2차확정,
PRD_CBD194134D1F48C5B86E,XY BREAK 확장팩 제11탄 「타오르는 투사」,xy11f_ja,2016-06-17,Bulbapedia(JP·2차),2차확정,
PRD_F4FEB5AEAFD341BE97EA,XY BREAK 확장팩 「프리미엄 챔피언팩」,cp4_ja,2016-04-16,Bulbapedia(JP·2차),2차확정,
PRD_218CE0DABAD1493786DF,XY BREAK 확장팩 제10탄 「초능력의 제왕」,xy10_ja,2016-03-18,Bulbapedia(JP·2차),2차확정,
PRD_52E8B395613649EDA22B,XY BREAK 확장팩 제9탄 「천공의 분노」,xy9_ja,2015-12-11,Bulbapedia(JP·2차),2차확정,
PRD_E658C5D993B042F88176,XY BREAK 확장팩 제8탄 「푸른 충격」,xy8b_ja,2015-09-26,Bulbapedia(JP·2차),2차확정,
PRD_1B1F4A770E5A4B92896A,XY BREAK 확장팩 제8탄 「붉은 섬광」,xy8r_ja,2015-09-26,Bulbapedia(JP·2차),2차확정,
PRD_D8F59899D45046079FE1,XY 확장팩 제7탄 「밴디트링」,xy7_ja,2015-06-20,Bulbapedia(JP·2차),2차확정,
PRD_9B9032EBA3C24F1ABA5C,XY 확장팩 제6탄 「에메랄드 브레이크」,xy6_ja,2015-03-14,Bulbapedia(JP·2차),2차확정,
PRD_F918066FC0EA4F6B9C99,XY 확장팩 제5탄 「가이아 볼케이노」,xy5g_ja,2014-12-13,Bulbapedia(JP·2차),2차확정,
PRD_1E0575E3D10E43ACBECB,XY 확장팩 제5탄 「타이달스톰」,xy5t_ja,2014-12-13,Bulbapedia(JP·2차),2차확정,
PRD_42626661804D4BE1B5E2,XY 확장팩 제4탄 「팬텀게이트」,xy4_ja,2014-09-13,Bulbapedia(JP·2차),2차확정,
PRD_48B06855BF394BE69706,XY 확장팩 제3탄 「라이징피스트」,xy3_ja,2014-06-14,Bulbapedia(JP·2차),2차확정,
PRD_C2C1ECDBD68A4BC08849,XY 확장팩 제2탄 「와일드 블레이즈」,xy2_ja,2014-03-15,Bulbapedia(JP·2차),2차확정,
PRD_9977B6F18CD34810B58A,XY 확장팩 제1탄 「Y컬렉션」,xy1y_ja,2013-12-13,Bulbapedia(JP·2차),2차확정,
PRD_A28DEA2BDF4745EEBEF4,BW 확장팩 「EX 배틀 부스트」,ebb1_ja,2013-07-13,Bulbapedia(JP·2차),2차확정,
PRD_258843B22E7940E8A2A6,BW 확장팩 제9탄 「메갈로캐논」,bw9_ja,2013-03-15,Bulbapedia(JP·2차),2차확정,
PRD_FF9AC7CB363846D0A190,BW 확장팩 「샤이니 컬렉션」,sc1_ja,2013-02-01,Bulbapedia(JP·2차),2차확정,
PRD_F516B48B00EC4405B043,BW 확장팩 제2탄 「레드 컬렉션」,bw2_ja,2011-07-15,Bulbapedia(JP·2차),2차확정,
